"V1"	"V2"	"V3"	"V4"	"V5"	"V6"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
"Male victims"	"Same household-dwelling unit"	"Suspect is the parent of the victim"	"0 - 4"	"Suspect males"	"Assault 21:5"
