"11ch -- Domestic violence and intimate partner violence reported as an offence, 2009-2019"

"Year";"Victim's sex";"Mode of housing";"Relation between the victim and the suspect";"Victim's age";"Suspect's sex";"Offence";"Number of victims"
"2019";"Male victims";"Same household-dwelling unit";"Suspect is the parent of the victim";"0 - 4";"Suspect males";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Suspect is the parent of the victim";"0 - 4";"Suspect males";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Male victims";"Same household-dwelling unit";"Suspect is the parent of the victim";"0 - 4";"Suspect males";"Assault 21:5";71
"2019";"Male victims";"Same household-dwelling unit";"Suspect is the parent of the victim";"0 - 4";"Suspect males";"Robbery 31:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Suspect is the parent of the victim";"0 - 4";"Suspect males";"Extortion, aggravated extortion 31:3,4";0
"2019";"Male victims";"Same household-dwelling unit";"Suspect is the parent of the victim";"0 - 4";"Suspect males";"Deprivation of personal liberty 25:1-2§";0
"2019";"Male victims";"Same household-dwelling unit";"Suspect is the parent of the victim";"0 - 4";"Suspect males";"Menace 25:7§";7
"2019";"Male victims";"Same household-dwelling unit";"Suspect is the parent of the victim";"0 - 4";"Suspect females";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Suspect is the parent of the victim";"0 - 4";"Suspect females";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Male victims";"Same household-dwelling unit";"Suspect is the parent of the victim";"0 - 4";"Suspect females";"Assault 21:5";77
"2019";"Male victims";"Same household-dwelling unit";"Suspect is the parent of the victim";"0 - 4";"Suspect females";"Robbery 31:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Suspect is the parent of the victim";"0 - 4";"Suspect females";"Extortion, aggravated extortion 31:3,4";0
"2019";"Male victims";"Same household-dwelling unit";"Suspect is the parent of the victim";"0 - 4";"Suspect females";"Deprivation of personal liberty 25:1-2§";0
"2019";"Male victims";"Same household-dwelling unit";"Suspect is the parent of the victim";"0 - 4";"Suspect females";"Menace 25:7§";4
"2019";"Male victims";"Same household-dwelling unit";"Suspect is the parent of the victim";"5 - 9";"Suspect males";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Suspect is the parent of the victim";"5 - 9";"Suspect males";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Male victims";"Same household-dwelling unit";"Suspect is the parent of the victim";"5 - 9";"Suspect males";"Assault 21:5";171
"2019";"Male victims";"Same household-dwelling unit";"Suspect is the parent of the victim";"5 - 9";"Suspect males";"Robbery 31:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Suspect is the parent of the victim";"5 - 9";"Suspect males";"Extortion, aggravated extortion 31:3,4";0
"2019";"Male victims";"Same household-dwelling unit";"Suspect is the parent of the victim";"5 - 9";"Suspect males";"Deprivation of personal liberty 25:1-2§";1
"2019";"Male victims";"Same household-dwelling unit";"Suspect is the parent of the victim";"5 - 9";"Suspect males";"Menace 25:7§";3
